acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre_class
0.58,0.338,482830,0.34,0.0032,9,0.116,-12.049,0,0.0339,82.433,4,0.197,0
0.013,0.564,146250,0.932,0.169,11,0.349,-10.068,1,0.0554,112.937,4,0.619,0
0.0484,0.412,333893,0.902,0.131,9,0.405,-11.6,1,0.405,89.74,4,0.422,0
0.072,0.468,263333,0.607,0.000852,9,0.225,-11.367,1,0.0336,98.429,4,0.886,0
0.0382,0.476,166267,0.717,7.61e-05,9,0.0818,-9.192,1,0.0949,93.584,4,0.753,0
0.396,0.437,295387,0.864,0.0314,4,0.242,-7.842,0,0.0904,81.394,4,0.749,0
0.488,0.48,508200,0.536,4.22e-05,2,0.155,-11.166,1,0.0427,80.617,3,0.581,0
0.000582,0.317,220561,0.887,0.00258,9,0.0891,-7.292,1,0.0375,169.613,4,0.871,0
0.943,0.503,212161,0.265,0.045,2,0.0867,-15.913,1,0.0333,78.044,4,0.522,0
0.246,0.404,401067,0.435,0.00074,4,0.156,-12.045,0,0.0323,136.058,4,0.156,0
0.0602,0.445,850884,0.463,0.0512,2,0.102,-12.976,1,0.045,83.634,4,0.102,0
0.352,0.481,305203,0.654,0.151,9,0.112,-11.393,1,0.052,102.826,4,0.774,0
0.0367,0.512,303020,0.709,0.00793,0,0.344,-10.875,1,0.0504,112.689,4,0.492,0
0.634,0.345,472528,0.187,0.0143,0,0.119,-16.187,1,0.031,75.07,4,0.0969,0
0.683,0.478,402077,0.537,0.318,9,0.0906,-14.478,0,0.0343,148.492,4,0.356,0
0.0203,0.597,277896,0.632,0.136,11,0.179,-14.584,0,0.0414,112.565,3,0.524,0
0.191,0.343,344027,0.342,0.153,6,0.261,-15.459,1,0.0491,176.689,3,0.17,0
0.00172,0.542,203347,0.905,0.0104,9,0.136,-5.653,1,0.054,153.398,4,0.374,0
0.00552,0.276,230760,0.715,0.000417,0,0.201,-5.356,1,0.0432,137.028,4,0.173,0
0.000861,0.436,183093,0.85,0.74,2,0.128,-4.86,1,0.0617,152.644,4,0.537,0
0.0867,0.448,234080,0.815,0.686,0,0.316,-5.951,0,0.0361,124.808,4,0.217,0
0.000136,0.4,245573,0.946,0.853,1,0.155,-3.966,0,0.0634,161.591,4,0.611,0
0.505,0.56,329667,0.32,0.472,8,0.11,-14.34,1,0.0313,82.511,4,0.107,0
0.469,0.398,237480,0.768,2.02e-05,11,0.106,-4.624,0,0.0392,108.685,5,0.235,0
0.000252,0.575,214040,0.854,0.676,1,0.351,-5.847,0,0.0362,113.075,4,0.587,0
0.0263,0.488,210133,0.624,0.00223,9,0.122,-8.357,1,0.0329,116.723,4,0.308,0
0.00319,0.436,230227,0.871,0.000473,9,0.114,-4.446,1,0.0384,138.743,4,0.71,0
0.0601,0.469,202267,0.8,0.0033,5,0.393,-9.241,0,0.11,158.716,4,0.591,0
0.0348,0.725,222813,0.853,0.127,2,0.196,-7.842,1,0.0353,136.282,4,0.904,0
0.0531,0.638,213067,0.928,0.11,5,0.0875,-4.078,1,0.0388,122.428,4,0.966,0
0.581,0.668,377747,0.672,1.09e-06,9,0.0403,-10.79,1,0.3,115.767,4,0.613,0
0.463,0.63,270773,0.616,0.0408,1,0.173,-8.128,0,0.0309,118.65,4,0.509,0
0.387,0.787,265173,0.877,0.00065,1,0.0387,-3.822,0,0.032,100.61,4,0.837,0
0.725,0.438,272000,0.541,0.000191,9,0.102,-6.012,0,0.0294,136.224,4,0.396,0
0.215,0.641,228667,0.927,0.00029,0,0.045,-3.532,1,0.0351,128.606,4,0.966,0
0.675,0.319,448720,0.627,7.29e-05,0,0.289,-9.611,1,0.0687,85.818,4,0.497,0
0.669,0.371,341773,0.404,0.00453,7,0.0805,-6.452,1,0.0255,74.386,4,0.153,0
0.0999,0.555,225133,0.912,0.24,0,0.0357,-6.136,1,0.0334,126.252,4,0.821,0
0.618,0.556,297813,0.792,6.74e-05,1,0.122,-7.688,0,0.0298,116.731,4,0.491,0
0.305,0.382,316147,0.344,1.31e-06,0,0.121,-11.289,1,0.0278,144.502,4,0.22,0
0.0987,0.59,217080,0.82,0.426,11,0.168,-5.806,1,0.0295,110.572,4,0.811,0
0.0466,0.367,194973,0.61,0.0156,2,0.221,-7.366,1,0.0276,89.367,4,0.433,0
0.000406,0.493,156587,0.609,0.0599,7,0.098,-8.739,1,0.0266,104.756,4,0.645,0
0.00731,0.487,239267,0.746,0.000413,2,0.178,-7.945,1,0.0274,134.389,4,0.739,0
0.327,0.509,289547,0.859,0.462,2,0.28,-6.319,1,0.0303,112.204,4,0.797,0
0.552,0.417,277493,0.472,0.00284,9,0.0982,-11.308,1,0.027,163.748,4,0.278,0
0.58,0.319,201107,0.882,0.897,0,0.378,-5.608,1,0.0398,157.822,4,0.61,0
0.389,0.483,253067,0.408,0.0386,7,0.258,-14.561,1,0.0259,94.899,3,0.507,0
0.00764,0.628,177467,0.875,0,9,0.209,-7.771,1,0.042,134.296,4,0.951,0
0.264,0.659,282693,0.36,0,9,0.103,-12.453,0,0.028,131.951,4,0.277,0
0.0577,0.493,233027,0.524,0.00191,0,0.19,-12.894,1,0.028,127.24,4,0.964,0
0.0223,0.68,222000,0.918,0.0106,2,0.21,-7.839,1,0.0339,135.78,4,0.964,0
0.257,0.77,202107,0.57,4.96e-06,5,0.0988,-12.578,0,0.0543,123.477,4,0.743,0
0.0011,0.438,200667,0.628,1.32e-06,9,0.243,-9.769,1,0.032,172.812,4,0.774,0
5.1e-06,0.565,171363,0.797,0.85,11,0.366,-5.366,1,0.0314,122.994,4,0.656,0
0.873,0.419,212000,0.469,0.673,0,0.0929,-9.751,1,0.0278,104.405,4,0.312,0
0.011,0.31,255493,0.7,0.00965,9,0.0828,-5.678,1,0.047,188.386,4,0.763,0
0.0591,0.573,208400,0.913,0.00173,6,0.156,-4.793,0,0.132,115.715,4,0.422,0
0.000147,0.501,292880,0.889,0.0114,4,0.217,-5.175,1,0.0364,133.519,4,0.257,0
0.153,0.754,214667,0.759,0.000114,9,0.101,-5.218,1,0.302,126.367,4,0.435,0
0.00287,0.532,210173,0.767,0.000513,7,0.39,-5.509,1,0.0574,127.361,4,0.755,0
0.214,0.668,231933,0.906,0.00229,11,0.135,-4.881,0,0.17,135.653,4,0.507,0
0.00532,0.389,312293,0.873,0.0055,4,0.273,-4.768,0,0.0475,106.767,4,0.303,0
0.133,0.456,301227,0.863,0.0545,3,0.0553,-3.551,1,0.0894,135.966,4,0.532,0
0.000239,0.457,317427,0.904,0.0879,2,0.396,-5.303,1,0.0747,141.038,4,0.48,0
0.000998,0.547,261507,0.931,0.0118,2,0.278,-2.356,1,0.0615,118.4,4,0.697,0
0.228,0.697,217051,0.716,0,2,0.11,-5.603,1,0.0403,114.988,4,0.727,0
6.05e-05,0.59,211331,0.822,0.457,7,0.343,-5.729,1,0.0363,129.019,4,0.856,0
0.0886,0.6,292500,0.848,0,4,0.381,-3.47,1,0.0386,133.949,4,0.301,0
0.00374,0.597,261094,0.6,5.65e-06,9,0.0431,-7.133,1,0.0297,91.997,4,0.899,0
5.76e-05,0.359,245943,0.805,0.00949,2,0.328,-4.702,1,0.0674,166.066,4,0.191,0
0.0125,0.392,313403,0.821,0.765,2,0.323,-6.43,1,0.0335,106.771,4,0.482,0
0.000368,0.441,372238,0.797,0.509,11,0.126,-4.406,0,0.0849,181.96,4,0.314,0
0.238,0.484,357512,0.893,0.00161,4,0.0425,-2.937,1,0.0915,132.99,4,0.342,0
0.0151,0.336,253813,0.665,0.000864,3,0.183,-4.194,1,0.0448,137.243,4,0.58,0
0.00714,0.711,259526,0.877,0.0208,2,0.101,-7.344,1,0.0446,119.976,4,0.809,0
0.494,0.186,222816,0.987,0.506,0,0.691,-2.713,1,0.0934,121.194,4,0.112,0
0.3,0.221,205107,0.923,0,7,0.448,-8.381,1,0.0976,132.398,4,0.338,0
0.132,0.228,229347,0.792,0,5,0.375,-8.0,1,0.0556,131.829,4,0.515,0
0.227,0.195,296387,0.711,0,2,0.889,-7.958,0,0.0549,114.996,4,0.32,0
0.391,0.138,350717,0.979,0.413,7,0.947,-2.796,1,0.0931,95.401,4,0.169,0
0.205,0.186,306657,0.98,0.495,5,0.892,-2.82,1,0.074,147.537,4,0.124,0
0.112,0.286,345040,0.98,0.69,2,0.467,-3.381,1,0.0974,98.407,4,0.231,0
0.393,0.195,197267,0.87,0,5,0.747,-7.953,1,0.0788,124.873,4,0.339,0
0.149,0.105,227387,0.88,0,5,0.643,-8.007,1,0.0628,91.086,4,0.19,0
0.27,0.247,290497,0.972,0.356,7,0.897,-2.831,0,0.0558,88.663,4,0.209,0
0.0149,0.604,292500,0.811,0.0129,4,0.384,-4.715,1,0.0411,133.956,4,0.355,0
0.000726,0.543,275305,0.457,0.456,9,0.0586,-8.423,1,0.0366,184.049,4,0.922,0
2.47e-05,0.55,211331,0.633,0.842,7,0.353,-6.197,1,0.04,129.028,4,0.799,0
0.0516,0.742,217051,0.641,0.00951,2,0.101,-8.124,1,0.055,114.986,4,0.7,0
0.003,0.389,313403,0.746,0.792,2,0.0538,-8.682,1,0.0353,106.926,4,0.513,0
7.77e-05,0.678,259526,0.639,0.855,2,0.102,-8.44,1,0.05,119.985,4,0.818,0
5.46e-06,0.402,244976,0.666,0.884,2,0.378,-6.515,1,0.0504,166.058,4,0.177,0
0.114,0.524,357538,0.774,0.313,11,0.0709,-3.427,0,0.0694,132.846,4,0.271,0
0.00971,0.437,253813,0.72,0.949,3,0.303,-3.957,1,0.0352,137.208,4,0.653,0
0.0011,0.711,267755,0.687,0.842,2,0.259,-7.61,1,0.035,131.929,4,0.829,0
0.0299,0.602,322118,0.837,0.0146,0,0.0909,-10.229,1,0.0443,140.022,4,0.716,0
0.00579,0.501,221880,0.939,0.234,0,0.174,-7.76,1,0.0321,139.984,4,0.827,0
0.000666,0.492,201633,0.938,0.079,0,0.114,-5.266,1,0.0524,142.953,4,0.483,0
0.000127,0.705,297334,0.728,0.00281,3,0.0653,-3.889,1,0.0371,137.98,4,0.962,0
0.0037,0.511,289932,0.899,0.388,1,0.0753,-8.062,1,0.0337,140.007,4,0.724,0
0.00801,0.542,142222,0.858,3.82e-06,0,0.227,-6.187,1,0.209,134.974,4,0.957,0
0.873,0.44,258641,0.108,0.905,9,0.0756,-14.484,1,0.0348,94.244,4,0.174,0
0.00158,0.554,201250,0.739,0,2,0.209,-4.209,1,0.0842,117.043,4,0.494,0
0.00363,0.697,203452,0.757,0.0763,9,0.604,-5.634,1,0.0908,127.037,4,0.747,0
0.00203,0.623,280088,0.793,1.23e-05,2,0.0486,-6.542,1,0.0777,142.003,4,0.766,0
0.000251,0.424,319625,0.869,0.0143,2,0.118,-4.798,1,0.106,158.935,4,0.55,0
0.209,0.618,340625,0.453,0,4,0.238,-7.448,1,0.0809,112.568,3,0.516,0
0.00892,0.621,275625,0.745,0.000965,9,0.196,-5.231,1,0.0408,120.145,4,0.61,0
0.00147,0.66,249483,0.656,0.000141,2,0.0512,-6.011,1,0.0776,129.033,4,0.448,0
0.016,0.648,269625,0.891,0.00556,9,0.184,-5.319,1,0.064,135.981,4,0.708,0
0.00414,0.688,285500,0.747,9.02e-05,9,0.336,-6.984,1,0.0603,127.03,4,0.352,0
0.103,0.74,251375,0.749,0.000555,9,0.142,-6.231,1,0.131,136.032,4,0.877,0
0.000678,0.511,306467,0.782,0.42,10,0.246,-7.653,1,0.0349,136.046,4,0.686,0
0.000903,0.456,211307,0.87,1.8e-06,2,0.808,-6.021,1,0.0389,134.781,4,0.53,0
0.00692,0.491,304467,0.821,0.405,10,0.277,-8.056,1,0.0394,135.945,4,0.776,0
0.296,0.752,216500,0.801,1.57e-05,9,0.112,-4.387,1,0.233,126.435,4,0.578,0
