artist,song,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,genre_class
Led Zeppelin,You Shook Me - 23/3/69 Top Gear,0.127,0.414,314013,0.49,0.0999,4,0.472,-8.576,1,0.0545,130.761,3,0.67,0
Led Zeppelin,I Can't Quit You Baby - 23/3/69 Top Gear,0.023,0.411,263627,0.442,0.0266,2,0.198,-12.276,1,0.262,145.973,3,0.367,0
Led Zeppelin,Communication Breakdown - 22/6/69 Pop Sundae,0.00574,0.367,191827,0.779,0.00708,9,0.288,-8.334,1,0.0488,90.354,4,0.794,0
Led Zeppelin,Dazed And Confused - 23/3/69 Top Gear,0.00882,0.303,399587,0.571,0.0757,11,0.114,-11.521,0,0.0958,152.001,3,0.422,0
Led Zeppelin,The Girl I Love She Got Long Black Wavy Hair - 22/6/69 Pop Sundae,0.111,0.264,183227,0.609,0.311,9,0.322,-10.992,0,0.0655,185.875,4,0.862,0
Led Zeppelin,What Is And What Should Never Be - 29/6/69 Top Gear,0.73,0.304,260013,0.559,0.000149,9,0.134,-9.793,1,0.0403,82.927,4,0.618,0
Led Zeppelin,Communication Breakdown - 29/6/69 Top Gear,0.18,0.403,160267,0.809,0.0371,2,0.799,-7.658,1,0.0506,91.323,4,0.779,0
Led Zeppelin,Travelling Riverside Blues - 29/6/69 Top Gear,0.177,0.476,310907,0.78,0.00308,7,0.26,-9.009,1,0.0564,91.609,4,0.634,0
Led Zeppelin,Whole Lotta Love - 29/6/69 Top Gear,0.51,0.332,370733,0.742,0.188,9,0.106,-10.63,1,0.0917,87.335,4,0.55,0
Led Zeppelin,Somethin' Else - 22/6/69 Pop Sundae,0.0566,0.324,126493,0.736,2.6e-05,4,0.344,-9.1,1,0.0307,156.903,3,0.85,0
Led Zeppelin,Communication Breakdown - 10/8/69 Playhouse Theatre,0.0134,0.286,184613,0.611,0.00657,9,0.658,-10.579,1,0.0699,184.027,4,0.841,0
Led Zeppelin,I Can't Quit You Baby - 10/8/69 Playhouse Theatre,0.045,0.426,380827,0.446,0.00827,2,0.702,-12.806,1,0.175,141.418,4,0.502,0
Led Zeppelin,You Shook Me - 10/8/69 Playhouse Theatre,0.398,0.384,613547,0.623,0.128,9,0.884,-8.875,1,0.138,142.907,3,0.539,0
Led Zeppelin,How Many More Times - 10/8/69 Playhouse Theatre,0.143,0.379,698280,0.358,0.00373,9,0.762,-13.909,1,0.0641,74.624,4,0.466,0
Led Zeppelin,Immigrant Song - 1/4/71 Paris Theatre,0.00154,0.28,201280,0.873,7.27e-06,6,0.669,-8.905,0,0.0897,119.342,4,0.305,0
Led Zeppelin,Heartbreaker - 1/4/71 Paris Theatre,0.0058,0.302,315680,0.904,4.01e-05,2,0.871,-8.686,1,0.0848,114.196,4,0.475,0
Led Zeppelin,Since I've Been Loving You - 1/4/71 Paris Theatre,0.0637,0.367,416267,0.579,0.00846,5,0.967,-10.782,0,0.0528,128.277,3,0.369,0
Led Zeppelin,Black Dog - 1/4/71 Paris Theatre,0.015,0.333,317520,0.904,0.00874,2,0.928,-9.589,1,0.342,84.278,4,0.512,0
Led Zeppelin,Dazed And Confused - 1/4/71 Paris Theatre,0.0706,0.326,1116613,0.521,0.265,2,0.765,-13.181,1,0.0742,131.846,4,0.141,0
Led Zeppelin,Stairway To Heaven - 1/4/71 Paris Theatre,0.392,0.314,529373,0.442,0.00753,7,0.862,-12.119,1,0.0565,102.799,4,0.187,0
Led Zeppelin,Going To California - 1/4/71 Paris Theatre,0.597,0.386,234667,0.292,0.00044,2,0.745,-18.692,1,0.0393,149.215,4,0.211,0
